id;codice_comune;foglio;particella;subalterno;superficie_di_riferimento_mq;natura_del_bene;indirizzo;numero_civico;latitudine;longitudine;tipologia_bene_immobile;epoca_costruzione;vincolo_culturale_paesaggistico;natura_giuridica_del_bene;utilizzo_del_bene;finalita;tipo_detenzione_a_terzi;canone_annuale;data_decorrenza;numero_immobili_per_catasto;id_list;meta_immobile;lista_file_ape;classe_energetica_ape;epglnren_ape;classe_target_ape;list_file_ape_filtered;coordinate_ds_coerenti;list_file_ape_validated;fonte_coordinate_usata;list_file_ape_validated_norm;plot_filename;id_left;zona_omi
689536;L219;1349;159;4;89.0;FABBRICATO;Via Orazio Antinori;3;45.05341868;7.66670546;Abitazione;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;;Non Dichiarato;in locazione;2991.0;01/06/2021;1;;False;['2020_102099_0161.xml'];E;127.38;D;['2020_102099_0161.xml'];True;['2020_102099_0161.xml'];originali;('2020_102099_0161.xml',);ape_summary_c3ee55aefbb0.html;689536;C5
689538;L219;1349;159;7;70.0;FABBRICATO;Via Orazio Antinori;3;45.05341868;7.66670546;Abitazione;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;;Non Dichiarato;in locazione;1919.0;01/06/2021;1;;False;['2020_102099_0162.xml'];E;135.42;D;['2020_102099_0162.xml'];True;['2020_102099_0162.xml'];originali;('2020_102099_0162.xml',);ape_summary_1a0d894749ff.html;689538;C5
689539;L219;1349;159;8;91.0;FABBRICATO;Via Orazio Antinori;3;45.05341868;7.66670546;Abitazione;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;;Non Dichiarato;in locazione;2772.0;01/06/2021;1;;False;['2020_102099_0163.xml'];E;127.38;D;['2020_102099_0163.xml'];True;['2020_102099_0163.xml'];originali;('2020_102099_0163.xml',);ape_summary_6fe0a9797ea2.html;689539;C5
689540;L219;1349;159;9;41.0;FABBRICATO;Via Orazio Antinori;3;45.05341868;7.66670546;Abitazione;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;;Non Dichiarato;in locazione;1800.0;01/07/2021;1;;False;['2021_102099_0004.xml'];F;194.04;E;['2021_102099_0004.xml'];True;['2021_102099_0004.xml'];originali;('2021_102099_0004.xml',);ape_summary_f0de1b1eff56.html;689540;C5
689549;L219;1351;295;3;56.0;FABBRICATO;via michelangelo buonarroti;30;45.0500451;7.6794094;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio disponibile;;Non Dichiarato;in locazione;3926.0;01/03/2010;1;;False;['2020_102099_0196.xml'];G;188.17;E;['2020_102099_0196.xml'];True;['2020_102099_0196.xml'];originali;('2020_102099_0196.xml',);ape_summary_e345e22fc4ef.html;689549;C2
689567;L219;1184;5;36;64.0;FABBRICATO;Via Aosta;31;45.0852193;7.6912085;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2022_113184_0091.xml'];F;271.38;E;['2022_113184_0091.xml'];True;['2022_113184_0091.xml'];originali;('2022_113184_0091.xml',);ape_summary_010d13e184d1.html;689567;C19
689597;L219;1352;249;9;7664.5;FABBRICATO;via madama cristina;102;45.0473999;7.6750475;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività didattica;;;;1;;False;['2021_106141_0053.xml'];D;257.31;C;['2021_106141_0053.xml'];True;['2021_106141_0053.xml'];originali;('2021_106141_0053.xml',);ape_summary_fb1fac8d290f.html;689597;C2
689699;L219;1184;66;43;53.0;FABBRICATO;Via Carmagnola;16;45.0854207;7.6874908;Abitazione;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2022_113184_0012.xml'];D;64.07;C;['2022_113184_0012.xml'];True;['2022_113184_0012.xml'];originali;('2022_113184_0012.xml',);ape_summary_00a7b5703d51.html;689699;C19
689747;L219;1089;337;47;105.0;FABBRICATO;strada scarafiotti;44;45.103231;7.7310744;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2020_312661_0138.xml'];F;179.49;F;['2020_312661_0138.xml'];True;['2020_312661_0138.xml'];originali;('2020_312661_0138.xml',);ape_summary_c5086c3d95d1.html;689747;D15
689931;L219;1369;70;6;173.0;FABBRICATO;Strada Antica di Revigliasco;77;45.0429508;7.7036509;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;1;;False;['2019_101050_0005.xml'];C;529.04;C;['2019_101050_0005.xml'];True;['2019_101050_0005.xml'];originali;('2019_101050_0005.xml',);ape_summary_0ab57836ac31.html;689931;E1
689963;L219;1076;289;43;72.0;FABBRICATO;via lucento;110;45.1032318;7.6604065;Abitazione;Dal 1961 al 1970;Nessuno;Patrimonio indisponibile;;Non Dichiarato;in locazione;3002.0;01/07/2022;1;;False;['2020_102099_0198.xml', '2022_105263_0057.xml'];F;185.85;E;['2020_102099_0198.xml', '2022_105263_0057.xml'];True;['2020_102099_0198.xml'];originali;('2020_102099_0198.xml', '2022_105263_0057.xml');ape_summary_5c8cd3bd1ec4.html;689963;D10
690045;L219;1179;105;49;73.0;FABBRICATO;Via Aquila;28;45.0853455;7.6665769;Abitazione;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2020_312661_0121.xml'];F;232.52;E;['2020_312661_0121.xml'];True;['2020_312661_0121.xml'];originali;('2020_312661_0121.xml',);ape_summary_7dbc1d1992ec.html;690045;C8
