file,unita,indirizzo,data_emissione,classe,epglnren,epglren,co2,superficie,vettore,serv_risc,serv_acs,serv_raf,serv_vent,serv_illu,serv_trasp,destinazione_uso_cod,oggetto_attestato_cod,tipologia_edilizia_cod,piano,codice_catastale,sezione,foglio,particella,subA,subDA,subalterno,anno_costruzione,lat,lon,coordinate_str,comune,zona_climatica,intervento_desc,intervento_classe_target,intervento_payback,qualita_invernale,qualita_estiva,fonti_rinnovabili,imp_risc_anno,imp_risc_desc,imp_risc_tipo,imp_risc_epnren,imp_acs_anno,imp_acs_desc,imp_acs_tipo,imp_acs_epnren,imp_raf_anno,imp_raf_desc,imp_raf_tipo,imp_raf_epnren,consumo_kwh_tot,tipologia_edilizia_str,ape_class_score,ape_system_score,ape_envelope_score,ape_renewables_score,ape_total_points,ape_score,kwh_per_sqm,energy_score,estimated_cost_year,cost_per_sqm_year
2021_202636_0096.xml,324,CORSO TRAIANO 139/C,2021-07-27,C,82.25,0.0,26.11,57.11,Teleriscaldamento,True,True,False,False,False,False,0.0,1.0,0.0,3.0,L219,,1443.0,646.0,324.0,324.0,,2011.0,45.1167,7.7167,"45.1167, 7.7167",Torino,E,0Intervento sulle strutture opachefalse9.2A148.191Intervento sui serramentifalse34.8C75.27A244.32,A1,9.2,Triste,Basita/o,No,2011.0,Teleriscaldamento ALFA LAVAL ET600,Teleriscaldamento,61.22,2011.0,Teleriscaldamento ALFA LAVAL ET600,Teleriscaldamento,21.03,,,,,4971.0,N/D,3,5,1,2,11,2,87.04254946594291,82.0,1242.75,21.760637366485728
2019_113024_0002.xml,326,Via Aosta 29,2019-02-05,G,85.13,5.13,16.7,159.17,Gas naturale,True,True,False,False,False,False,1.0,1.0,6.0,0.0,L219,/,1184.0,10.0,326.0,326.0,,1960.0,45.0843844,7.6909321,"45.0843844, 7.6909321",TORINO,E,1Sostituzione serramenti con altri a taglio termicofalse9G68.74G68.74,G,9.0,Triste,Basita/o,No,2012.0,PRINCIPALE,Caldaia a condensazione,64.65,2010.0,Impianto 1...,Boiler elettrico,20.48,,,,,11913.56,N/D,1,2,1,2,6,1,74.84802412514921,90.0,2978.39,18.712006031287302
2020_213615_0064.xml,329,Via Lodi 9,2020-09-25,G,297.02,0.57,58.53,62.28,Gas naturale,False,False,False,False,False,False,0.0,1.0,3.0,5.0,L219,,1184.0,10.0,329.0,329.0,,1957.0,45.0842198647083,7.69017413988113,"45.0842198647083, 7.69017413988113",Torino,E,0Isolamento solaio piano010F173.2F173.2,F,10.0,Triste,Triste,No,2012.0,,Caldaia standard,269.84,2000.0,,Scalda-acqua a gas,27.18,,,,,18459.6888,Ed. Plurifam.,1,2,1,2,6,1,296.3983429672447,4.0,4614.9222,74.09958574181117
2019_203322_0002.xml,33,Via Ivrea 49,2019-05-16,F,307.72,12.43,63.4,49.52,Gas naturale,True,True,True,False,False,False,0.0,1.0,6.0,2.0,L219,,1049.0,45.0,33.0,33.0,,1969.0,45.116899,7.70324,"45.116899, 7.70324",TORINO,E,"0Intervento su componenti opachi, coibentazione cassonettifalse26E293.64E293.64",E,26.0,Triste,Triste,No,2005.0,RIELLO GT 409,Caldaia standard,228.39,2015.0,VAILLANT MAG IT 11-4/0 E H,Caldaia standard,30.63,2015.0,COMFEE' LARIUS 9UI / LARIUS 9UE,Pompa di calore,48.7,14013.32,N/D,1,2,1,2,6,1,282.9830371567043,5.0,3503.33,70.74575928917608
2020_110202_0027.xml,33,VIA PARENZO 80,2020-01-12,G,418.83,12.31,119.5,37.5,Teleriscaldamento,True,True,False,False,False,False,0.0,1.0,5.0,3.0,L219,0,1073.0,18.0,33.0,33.0,,1960.0,45.0661111111111,7.68222222222222,"45.0661111111111, 7.68222222222222",TORINO,E,0Isolamento involucro opacofalse7F418.151Sostituzione serramnetifalse2F270.15E268.13,F,7.0,Triste,Basita/o,No,2015.0,PRINCIPALE,Teleriscaldamento,367.74,2015.0,ACS autonomo,Boiler elettrico,51.09,,,,,14116.0,N/D,1,2,1,2,6,1,376.4266666666667,0.0,3529.0,94.10666666666667
2020_212533_0036.xml,33,Viale dei Mughetti 29bis,2020-03-02,C,73.35,0.0,27.11,58.31,Teleriscaldamento,True,True,False,False,False,False,0.0,1.0,2.0,1.0,L219,0,1069.0,150.0,33.0,33.0,,1965.0,45.1039417,7.6264605,"45.1039417, 7.6264605",TORINO,E,0Coibentazione pareti freddefalse5B57.60B57.60,B,5.0,Triste,Triste,No,2000.0,PRINCIPALE,Teleriscaldamento,43.59,2000.0,ACS,Scalda-acqua a gas,29.76,,,,,5803.5,N/D,3,2,1,2,8,1,99.5283827816841,78.0,1450.875,24.882095695421025
2021_202896_0019.xml,33,VIA BONFANTE PIETRO 6,2021-05-25,D,138.04,0.55,26.18,87.7,Teleriscaldamento,False,False,False,False,False,False,0.0,1.0,6.0,6.0,L219,,1391.0,23.0,33.0,33.0,,1969.0,45.1167,7.7167,"45.1167, 7.7167",TORINO,E,				Sostituzione componenti finestrati,D,10.0,Triste,Basita/o,No,2018.0,,Teleriscaldamento,113.63,2016.0,,Scalda-acqua a gas,24.41,,,,,13629.9062,N/D,3,2,1,2,8,1,155.4151220068415,52.0,3407.47655,38.853780501710375
2022_312661_0009.xml,33,Via Mddalene 10,2022-03-25,F,286.52,1.72,57.56,47.95,Gas naturale,True,True,False,False,False,False,0.0,1.0,3.0,1.0,L219,,1145.0,74.0,33.0,33.0,,1970.0,45.0904,7.7074,"45.0904, 7.7074",Torino,E,Installazione valvole termostatiche,E,5.51,Triste,Basita/o,No,2003.0,,Caldaia a condensazione,237.45,2005.0,,Caldaia standard,49.07,,,,,12937.96,Ed. Plurifam.,1,2,1,2,6,1,269.82189781021896,8.0,3234.49,67.45547445255474
2022_313821_0051.xml,33,Via Bioglio 16,2022-04-08,D,139.82,1.07,28.12,46.91,Gas naturale,True,True,False,False,False,False,0.0,1.0,9.0,4.0,L219,,1186.0,167.0,33.0,33.0,,1999.0,45.0869,7.6965,"45.0869, 7.6965",Torino,E,REALIZZAZIONE DI CAPPOTTO ESTERNO,D,10.46,Triste,Triste,No,2019.0,,Caldaia a condensazione,108.76,2019.0,,Caldaia a condensazione,31.06,,,,,6160.46,App. Condominio,3,2,1,2,8,1,131.3250905990194,64.0,1540.115,32.83127264975485
2022_313821_0067.xml,33,"Via Tartini 31, 33, 35, 37 10154, Torino",2022-05-08,F,255.37,0.98,51.22,68.32,Teleriscaldamento,True,True,False,False,False,False,0.0,1.0,3.0,2.0,L219,,1131.0,72.0,33.0,33.0,,1968.0,45.0965,7.7057,"45.0965, 7.7057",Torino,E,sostituzioni serramenti,E,22.83,Triste,Triste,No,2013.0,,Teleriscaldamento,220.12,2010.0,,Caldaia standard,35.25,,,,,12201.64,Ed. Plurifam.,1,2,1,2,6,1,178.59543325526934,40.0,3050.41,44.648858313817335
