cluster_id,gruppo_catastale,quotazione_media_al_mq
90,A,967.0
90,B,850.0
90,T,850.0
91,A,1042.0
91,B,982.0
91,E,982.0
91,T,960.0
92,A,1266.85
92,B,1312.0
92,C,790.0
92,T,1274.0
93,A,1677.55
93,B,1768.0
93,C,1188.0
93,D,321.0
93,E,1768.0
93,T,1560.0
94,A,1447.0
94,B,1561.0
94,D,321.0
94,F,1561.0
95,A,1824.98
95,C,1530.0
95,E,1776.0
96,A,1327.27
96,B,1552.75
96,C,1012.0
96,D,321.0
96,E,862.0
96,T,1028.65
97,A,1034.0
97,B,830.0
97,D,348.0
97,T,830.0
98,A,1297.82
98,B,993.75
98,D,348.0
98,T,1239.38
99,A,2721.4
99,B,2296.0
99,C,1171.2
99,D,2098.0
99,E,2296.0
99,T,1749.57
100,A,1000.0
100,B,862.0
100,C,662.0
100,F,862.0
100,T,862.0
101,T,830.0
102,A,885.0
102,B,850.0
102,C,665.0
102,T,850.0
103,C,643.0
103,T,830.0
104,A,885.0
104,C,665.0
104,T,850.0
105,A,863.0
105,B,939.0
105,T,939.0
106,A,2612.9
106,B,2375.0
106,C,1781.0
107,A,1480.79
107,B,1805.5
107,C,1242.0
107,T,1561.0
108,A,2950.0
108,B,1986.62
108,C,1227.0
108,D,2131.0
108,F,2296.0
108,T,1531.0
109,A,967.0
109,B,916.0
109,C,728.0
109,E,850.0
109,T,869.13
110,A,885.0
110,B,850.0
110,F,850.0
110,T,851.33
111,T,850.0
112,A,1071.56
112,B,1171.5
112,D,308.0
112,T,1016.75
113,A,1515.0
113,B,1394.0
113,C,1033.0
113,D,1394.0
113,F,1394.0
113,T,1609.5
114,T,850.0
115,A,1426.0
115,B,1261.0
115,C,774.0
115,T,1054.78
116,A,2077.38
116,B,1914.5
117,T,850.0
118,A,1426.0
118,B,1361.83
118,C,788.0
118,T,1412.25
119,A,2696.95
119,B,2272.2
119,C,2060.91
119,E,2597.0
119,T,2597.0
120,A,1266.24
120,B,1274.0
120,C,951.0
120,D,1312.0
120,F,1236.0
120,T,1236.0
121,A,1000.0
121,T,862.0
122,A,2056.0
122,B,1745.0
122,E,1818.0
122,T,1387.21
123,A,1059.0
123,B,1090.67
123,C,790.0
123,D,321.0
123,T,1066.44
124,A,1000.0
124,B,862.0
124,T,862.0
125,A,945.25
125,B,1005.5
125,C,875.0
125,F,850.0
125,T,1196.32
126,T,850.0
127,A,2023.35
127,B,1925.5
127,C,1282.5
127,D,1801.0
128,A,1371.38
128,B,1583.5
128,C,1188.0
128,D,321.0
128,T,1481.0
129,A,1034.0
129,E,830.0
129,T,830.0
130,E,1261.0
130,T,1261.0
131,C,875.0
131,D,321.0
131,T,1300.0
132,A,1721.63
132,B,1878.0
132,C,1001.0
132,D,1317.0
132,F,1938.0
132,T,850.0
133,A,1162.27
133,B,1300.0
133,D,321.0
133,T,934.44
134,A,1333.0
134,B,1485.0
134,T,1447.67
135,A,1497.0
135,B,1547.0
135,F,1547.0
136,A,1426.0
136,B,1261.0
136,T,1261.0
137,A,1575.4
137,B,1768.0
137,F,1657.5
138,T,1261.0
139,T,850.0
140,A,1988.0
140,B,2269.91
140,C,1938.0
141,A,1870.0
141,B,1798.14
141,C,1365.4
141,D,1801.0
141,T,1801.0
142,A,967.0
142,B,850.0
142,T,850.0
143,A,1426.0
143,B,1261.0
143,C,788.0
143,T,1347.25
144,A,1081.46
144,B,1302.0
144,C,808.0
144,D,1302.0
145,A,885.0
145,B,850.0
145,D,315.0
145,T,850.0
146,A,1042.0
146,B,982.0
146,C,760.0
146,D,270.0
146,T,971.44
147,A,1042.0
147,B,982.0
147,E,982.0
147,T,974.86
148,A,1004.28
148,B,966.0
148,T,862.0
149,A,1283.0
149,B,1300.0
149,C,875.0
149,D,321.0
149,T,1300.0
