id;codice_comune;foglio;particella;superficie_di_riferimento_mq;natura_del_bene;indirizzo;numero_civico;latitudine;longitudine;tipologia_bene_immobile;epoca_costruzione;vincolo_culturale_paesaggistico;natura_giuridica_del_bene;utilizzo_del_bene;finalita;tipo_detenzione_a_terzi;canone_annuale;data_decorrenza;meta_immobile;numero_immobili_per_catasto
691843;L219;1186;167;9.0;FABBRICATO;via ternengo;38 A;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691844;L219;1186;167;8.0;FABBRICATO;via ternengo;38 A;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691845;L219;1186;167;14.0;FABBRICATO;via ternengo;38 A;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691846;L219;1186;167;13.0;FABBRICATO;via ternengo;38 A;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691847;L219;1186;167;17.0;FABBRICATO;via ternengo;38 A;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691848;L219;1186;167;12.0;FABBRICATO;via ternengo;38 A;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691849;L219;1186;167;12.0;FABBRICATO;via ternengo;38 A;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691850;L219;1186;167;55.0;FABBRICATO;Via Bioglio;16;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691851;L219;1186;167;11.0;FABBRICATO;via ternengo;38 A;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691852;L219;1186;167;11.0;FABBRICATO;via ternengo;38 A;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691853;L219;1186;167;13.0;FABBRICATO;via ternengo;38 A;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691854;L219;1186;167;9.0;FABBRICATO;via ternengo;38 A;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691855;L219;1186;167;9.0;FABBRICATO;via ternengo;38 A;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691856;L219;1186;167;9.0;FABBRICATO;via ternengo;38 A;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691857;L219;1186;167;12.0;FABBRICATO;via ternengo;38 A;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691858;L219;1186;167;9.0;FABBRICATO;via ternengo;38 A;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691859;L219;1186;167;9.0;FABBRICATO;via ternengo;38 A;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691860;L219;1186;167;10.0;FABBRICATO;via ternengo;38 A;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691861;L219;1186;167;50.0;FABBRICATO;Via Bioglio;16;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691862;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691863;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691864;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691865;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691866;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691867;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691868;L219;1186;167;11.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691869;L219;1186;167;15.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691870;L219;1186;167;15.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691871;L219;1186;167;11.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691872;L219;1186;167;46.0;FABBRICATO;Via Bioglio;16;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691873;L219;1186;167;11.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691874;L219;1186;167;11.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691875;L219;1186;167;11.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691876;L219;1186;167;11.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691877;L219;1186;167;23.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691878;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691879;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691880;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691881;L219;1186;167;11.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691882;L219;1186;167;13.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691883;L219;1186;167;51.0;FABBRICATO;Via Bioglio;16;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691884;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691885;L219;1186;167;8.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691886;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691887;L219;1186;167;13.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691888;L219;1186;167;13.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691889;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691890;L219;1186;167;10.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691891;L219;1186;167;19.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691892;L219;1186;167;18.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691893;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691894;L219;1186;167;57.0;FABBRICATO;Via Bioglio;16;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691895;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691896;L219;1186;167;15.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691897;L219;1186;167;22.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691898;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691899;L219;1186;167;17.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691900;L219;1186;167;14.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691901;L219;1186;167;13.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691902;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691903;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691904;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691905;L219;1186;167;55.0;FABBRICATO;Via Bioglio;16;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691906;L219;1186;167;13.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691907;L219;1186;167;11.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691908;L219;1186;167;13.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691909;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691910;L219;1186;167;14.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691911;L219;1186;167;11.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691912;L219;1186;167;10.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691913;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691914;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691915;L219;1186;167;13.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691916;L219;1186;167;50.0;FABBRICATO;Via Bioglio;16;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691917;L219;1186;167;13.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691918;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691919;L219;1186;167;11.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691920;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691921;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691922;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691923;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691924;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691925;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691926;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691927;L219;1186;167;46.0;FABBRICATO;Via Bioglio;16;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691928;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691929;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691930;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691931;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691932;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691933;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691934;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691935;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691936;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691937;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691938;L219;1186;167;51.0;FABBRICATO;Via Bioglio;16;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691939;L219;1186;167;17.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691940;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691941;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691942;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691943;L219;1186;167;9.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691944;L219;1186;167;16.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691945;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691946;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691947;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691948;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691949;L219;1186;167;56.0;FABBRICATO;Via Bioglio;16;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691950;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691951;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691952;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691953;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
