Popolazione maschile e femminile iscritta in anagrafe al 31 dicembre 2023 per zone urbanistiche e classi di età quinquennali,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Municipi,Zona urbanistiche Old,Classi quinquennali - maschi e femmine,,,,,,,,,,,,,,,,,,Totale
,,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,oltre,
,n.l.,84,85,71,63,71,199,246,228,198,147,150,129,119,108,44,26,13,8,1.989
,Totale municipio,5.237,6.494,7.201,7.506,7.720,8.877,9.889,10.281,10.788,12.282,13.533,13.738,12.469,10.811,9.448,8.711,6.869,6.673,168.527
V (**),05F,51,62,94,104,103,70,89,104,132,136,146,180,151,119,119,98,76,49,1.883
,05L,1,0,1,3,1,1,4,1,2,3,2,4,2,3,2,1,0,4,35
,06A,1.586,1.810,1.815,1.664,1.865,2.512,3.096,3.571,3.980,3.840,3.757,3.813,3.311,2.696,1.978,1.833,1.608,2.186,46.921
,06B,306,372,450,462,439,466,484,556,653,736,766,815,657,652,738,788,537,518,10.395
,06C,720,873,854,837,868,1.096,1.289,1.678,1.831,1.970,1.786,1.702,1.345,1.089,842,699,587,756,20.822
,06D,1.287,1.509,1.716,1.751,1.810,1.997,2.160,2.435,2.624,2.928,3.238,3.466,3.273,2.431,2.061,1.934,1.819,2.493,40.932
,07A,1.869,2.205,2.126,2.170,2.310,2.693,3.369,3.801,4.215,4.406,4.203,4.394,3.940,2.993,2.359,2.009,1.825,2.377,53.264
,07B,888,1.073,1.250,1.235,1.232,1.336,1.465,1.634,1.908,2.133,2.246,2.210,1.916,1.493,1.201,1.031,906,1.073,26.230
,07C,422,544,595,625,581,623,727,735,833,918,1.026,1.031,857,753,640,549,479,549,12.487
,07D,366,424,484,542,511,525,568,564,634,670,772,862,804,619,546,392,287,332,9.902
,07E,390,453,498,442,421,506,597,600,637,731,773,802,829,869,718,601,430,377,10.674
,07F,36,38,38,55,47,50,53,60,75,68,89,84,77,47,36,20,21,35,929
,07G,33,52,70,74,66,72,64,92,117,108,139,119,67,45,46,26,18,25,1.233
,07H,83,144,129,90,63,121,172,194,251,292,196,144,125,80,53,44,27,14,2.222
,08D,39,51,49,35,34,36,41,55,66,68,55,45,43,40,11,14,13,9,704
,n.l.,116,124,105,92,99,149,201,262,275,244,194,223,166,112,87,45,23,15,2.532
,Totale municipio,8.193,9.734,10.274,10.181,10.450,12.253,14.379,16.342,18.233,19.251,19.388,19.894,17.563,14.041,11.437,10.084,8.656,10.812,241.165
VI(*) (**),08B,307,357,420,383,261,301,412,453,552,673,661,489,321,243,215,174,115,108,6.445
,08C,686,737,862,995,984,1.023,1.214,1.191,1.224,1.457,1.603,1.737,1.462,1.050,925,861,708,811,19.530
,08D,718,874,968,1.028,1.028,1.154,1.313,1.362,1.467,1.676,1.636,1.634,1.332,1.048,940,739,607,627,20.151
,08E,1.716,2.229,2.474,1.993,1.732,1.859,2.462,2.981,3.308,3.806,3.278,2.667,2.189,1.730,1.359,1.128,720,606,38.237
,08F,3.266,4.079,4.714,4.797,4.589,4.698,5.102,5.858,6.269,7.096,7.164,6.817,6.086,5.046,4.073,3.272,2.407,2.172,87.505
,08G,2.154,2.714,2.891,2.922,2.900,2.983,3.368,3.570,3.982,4.336,4.595,4.187,3.447,2.515,2.040,1.752,1.291,1.097,52.744
,08H,654,858,937,819,701,698,828,1.018,1.222,1.327,1.282,1.047,871,699,507,451,281,220,14.420
,n.l.,142,153,133,118,143,254,276,296,238,247,252,239,211,131,86,50,35,12,3.016
,Totale municipio,9.643,12.001,13.399,13.055,12.338,12.970,14.975,16.729,18.262,20.618,20.471,18.817,15.919,12.462,10.145,8.427,6.164,5.653,242.048
VII(*),08A,434,545,592,605,640,690,795,743,765,852,1.048,1.210,1.163,933,625,530,530,858,13.558
,09A,590,709,822,798,837,1.059,1.270,1.371,1.468,1.555,1.816,1.704,1.557,1.383,1.235,1.131,896,1.015,21.216
,09B,1.435,1.764,1.925,1.973,1.947,2.261,2.653,2.786,3.306,3.583,3.940,3.941,3.184,2.730,2.395,2.351,2.119,2.541,46.834
,09C,82,106,107,104,110,100,157,172,218,210,213,205,148,126,92,62,46,47,2.305
,09D,857,958,1.009,1.024,1.077,1.302,1.610,1.610,1.776,1.973,2.134,2.337,2.058,1.772,1.585,1.353,1.147,1.370,26.952
,09E,673,852,926,952,915,1.080,1.135,1.250,1.462,1.705,1.856,1.911,1.767,1.435,1.106,1.059,971,1.233,22.288
,10A,1.559,1.740,1.878,1.917,2.099,2.395,2.904,3.089,3.294,3.558,3.876,4.030,3.510,2.815,2.391,2.514,2.380,3.117,49.066
,10B,850,1.040,1.150,1.289,1.294,1.298,1.529,1.675,1.819,2.114,2.206,2.459,2.230,1.930,1.569,1.342,1.231,1.634,28.659
,10C,321,450,552,563,463,431,489,568,633,881,998,948,780,587,556,537,410,475,10.642
,10D,200,256,292,326,294,295,314,319,400,492,523,593,531,433,351,319,266,334,6.538
,10E,169,248,320,342,254,247,279,266,346,528,589,462,364,251,197,160,115,98,5.235
,10F,568,688,703,693,687,828,1.086,1.188,1.194,1.231,1.212,1.300,1.540,1.727,1.456,1.115,723,618,18.557
,10G,284,358,376,357,363,433,526,562,605,667,691,593,540,391,292,209,168,178,7.593
,10H,259,328,389,364,392,380,433,432,521,621,610,562,481,373,331,280,239,217,7.212
,10I,303,510,721,828,666,500,483,507,675,1.073,1.354,1.063,742,474,355,317,226,211,11.008
,10L,1.134,1.406,1.663,1.778,1.673,1.557,1.763,1.904,2.185,2.523,2.929,2.860,2.408,1.869,1.636,1.445,978,902,32.613
,10X,27,13,15,10,15,17,13,20,15,14,17,17,11,4,6,2,2,3,221
,n.l.,87,99,89,94,91,148,212,281,241,247,222,239,195,166,120,79,38,19,2.667
,Totale municipio,9.832,12.070,13.529,14.017,13.817,15.021,17.651,18.743,20.923,23.827,26.234,26.434,23.209,19.399,16.298,14.805,12.485,14.870,313.164
VIII,11A,213,245,254,260,280,410,525,549,550,619,620,643,520,373,346,359,307,325,7.398
,11B,255,281,281,301,319,377,431,467,451,523,593,609,599,478,377,330,358,452,7.482
,11C,1.307,1.445,1.658,1.771,1.768,2.038,2.315,2.595,2.733,3.189,3.574,3.663,3.255,2.654,2.244,2.139,2.053,2.377,42.778
,11D,147,183,265,310,266,219,208,214,274,377,476,488,413,323,254,258,289,348,5.312
,11E,1.061,1.328,1.640,1.571,1.401,1.449,1.603,1.860,2.137,2.635,2.790,2.794,2.425,2.041,1.718,1.620,1.403,1.668,33.144
,11F,335,449,570,626,524,576,558,630,740,893,1.069,993,867,786,749,692,506,465,12.028
,11G,439,549,760,842,675,619,636,686,862,1.114,1.242,1.207,1.015,1.038,1.145,1.195,868,660,15.552
,11X,71,93,108,149,135,139,138,161,140,203,280,274,217,196,138,108,96,100,2.746
,11Y,22,31,41,44,44,36,31,41,43,61,55,70,57,49,34,27,10,16,712
,n.l.,38,36,24,18,45,97,99,96,82,59,79,63,60,42,29,15,10,4,896
,Totale municipio,3.888,4.640,5.601,5.892,5.457,5.960,6.544,7.299,8.012,9.673,10.778,10.804,9.428,7.980,7.034,6.743,5.900,6.415,128.048
IX,12A,247,359,445,516,455,451,376,382,518,619,771,862,843,551,441,400,365,582,9.183
,12B,304,401,509,541,498,454,477,538,546,751,878,896,721,610,482,465,409,552,10.032
,12C,1.224,1.526,1.908,2.146,2.072,2.007,1.898,2.061,2.422,2.831,3.487,3.944,3.411,2.534,2.154,1.737,1.484,1.397,40.243
,12D,661,856,993,1.085,1.123,1.028,1.089,1.172,1.309,1.690,1.941,1.931,1.668,1.514,1.524,1.506,1.297,1.155,23.542
,12E,474,629,756,771,726,748,730,838,971,1.111,1.175,1.171,1.061,889,916,861,714,541,15.082
,12F,796,927,991,830,637,637,981,1.197,1.331,1.569,1.479,1.236,916,703,601,468,347,344,15.990
,12G,699,944,1.063,1.133,1.131,1.110,1.113,1.256,1.355,1.521,1.759,1.983,1.966,1.790,1.493,1.178,1.037,1.155,23.686
,12H,1.061,1.298,1.575,1.870,1.784,1.811,1.967,2.114,2.156,2.488,2.983,2.841,2.089,1.527,1.259,1.045,729,692,31.289
,12I,390,450,455,471,446,434,465,486,586,700,751,724,571,412,338,278,200,201,8.358
,12L,92,141,187,200,163,171,180,189,249,275,306,282,220,178,158,150,76,82,3.299
,12M,7,11,14,5,14,15,14,18,24,16,24,24,30,19,12,9,12,14,282
,12N,62,83,79,91,78,64,69,84,91,121,127,105,91,62,61,60,42,20,1.390
,12X,0,0,0,0,0,0,0,1,0,3,1,0,0,1,1,2,0,0,9
,n.l.,32,54,28,35,22,21,47,43,56,49,53,56,56,44,24,11,12,1,644
,Totale municipio,6.049,7.679,9.003,9.694,9.149,8.951,9.406,10.379,11.614,13.744,15.735,16.055,13.643,10.834,9.464,8.170,6.724,6.736,183.029
X,13A,591,809,976,939,828,774,920,1.011,1.281,1.672,1.939,1.631,1.118,830,672,570,451,340,17.352
,13B,969,1.277,1.482,1.465,1.477,1.426,1.518,1.588,1.912,2.217,2.289,2.378,2.033,1.574,1.233,1.103,830,800,27.571
,13C,879,1.108,1.416,1.373,1.324,1.293,1.331,1.443,1.704,2.037,2.266,2.278,1.862,1.482,1.183,1.039,813,805,25.636
,13D,657,1.037,1.422,1.570,1.579,1.338,1.133,1.092,1.432,1.993,2.546,2.507,1.962,1.424,1.339,1.437,1.478,1.195,27.141
,13E,632,874,1.111,1.011,954,854,923,1.022,1.242,1.557,1.638,1.511,1.276,976,797,643,498,407,17.926
,13F,1.142,1.615,1.932,2.059,1.984,1.957,1.956,2.104,2.460,3.287,3.612,3.745,3.242,2.707,2.367,2.316,1.945,1.805,42.235
,13G,929,1.326,1.640,1.749,1.750,1.675,1.576,1.796,2.053,2.637,3.128,3.307,2.757,2.174,1.995,1.861,1.597,1.692,35.642
,13H,44,50,54,69,75,83,79,66,85,109,133,146,137,103,107,70,46,43,1.499
,13I,1.015,1.375,1.895,2.046,1.878,1.565,1.379,1.592,1.828,2.612,3.221,2.883,2.170,1.449,1.260,1.200,841,723,30.932
,13X,1,4,12,12,4,8,6,5,6,13,19,25,7,1,2,2,0,0,127
,n.l.,41,48,35,58,37,46,50,67,99,125,140,142,151,107,77,46,26,16,1.311
,Totale municipio,6.900,9.523,11.975,12.351,11.890,11.019,10.871,11.786,14.102,18.259,20.931,20.553,16.715,12.827,11.032,10.287,8.525,7.826,227.372
XI,15A,1.128,1.240,1.337,1.457,1.452,1.626,1.939,2.100,2.315,2.656,2.961,2.837,2.306,1.693,1.472,1.650,1.529,1.688,33.386
,15B,838,1.098,1.267,1.370,1.324,1.167,1.318,1.368,1.635,2.118,2.566,2.480,2.094,1.679,1.473,1.520,1.549,1.654,28.518
,15C,680,872,1.042,1.084,1.116,1.106,1.169,1.236,1.419,1.853,2.242,2.069,1.641,1.273,1.219,1.417,1.256,1.018,23.712
,15D,885,1.118,1.369,1.375,1.465,1.460,1.598,1.622,1.835,2.223,2.483,2.599,2.210,1.991,1.579,1.367,1.056,1.069,29.304
,15E,279,368,404,403,319,265,312,322,413,528,656,434,290,167,133,127,82,56,5.558
,15F,483,631,688,799,719,688,757,829,984,1.252,1.570,1.423,1.124,869,798,827,757,689,15.887
,15G,563,810,838,742,642,664,840,978,1.161,1.432,1.353,1.101,754,598,419,402,261,243,13.801
,n.l.,63,65,56,51,62,93,107,117,101,119,107,114,100,74,46,21,10,7,1.313
,Totale municipio,4.919,6.202,7.001,7.281,7.099,7.069,8.040,8.572,9.863,12.181,13.938,13.057,10.519,8.344,7.139,7.331,6.500,6.424,151.479
XII,16A,1.009,1.299,1.564,1.720,1.538,1.546,1.520,1.553,1.957,2.491,3.127,3.135,2.790,2.218,1.823,1.806,1.798,2.144,35.038
,16B,814,1.176,1.383,1.444,1.379,1.381,1.471,1.579,1.854,2.321,2.759,2.816,2.311,1.889,1.567,1.560,1.424,1.540,30.668
,16C,195,162,196,233,255,375,450,424,375,430,464,459,423,296,212,152,112,112,5.325
,16D,1.543,1.901,2.250,2.279,2.221,2.388,2.554,2.737,3.272,3.825,4.427,4.548,4.056,3.597,3.052,2.675,2.388,2.963,52.676
,16E,340,425,466,513,524,488,503,539,609,755,828,811,659,511,355,336,243,267,9.172
,16F,200,286,346,328,298,309,362,374,415,500,572,520,407,297,273,181,159,143,5.970
,16X,1,0,0,0,0,5,7,6,14,23,20,18,15,18,9,8,15,31,190
,n.l.,18,27,17,31,33,74,80,74,76,59,48,58,50,31,22,8,3,1,710
,Totale municipio,4.120,5.276,6.222,6.548,6.248,6.566,6.947,7.286,8.572,10.404,12.245,12.365,10.711,8.857,7.313,6.726,6.142,7.201,139.749
XIII,18A,646,819,1.023,1.065,1.090,1.072,1.046,1.198,1.459,1.722,2.111,2.279,1.873,1.537,1.324,1.336,1.188,1.366,24.154
