id;natura_del_bene;indirizzo;numero_civico;latitudine;longitudine;identificativo_catastale;tipologia_bene_immobile;altezza;superficie_di_riferimento_mq;epoca_costruzione;vincolo_culturale_paesaggistico;natura_giuridica_del_bene;utilizzo_del_bene;finalita;tipo_detenzione_a_terzi;canone_annuale;data_decorrenza;zona_omi
5094;FABBRICATO;Via Franco Bonelli;4;45.0759132;7.6811059;"Accatastato - L219:::1217:204::12;L219:::1217:207::21";Abitazione;Non Disponibile;140.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
5350;FABBRICATO;Via Cardinal Massaia;113;45.1025828;7.6680988;"Accatastato - L219:::1109:119::5;L219:::1109:119::1";Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);4.0;4315.0;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività didattica;;;;
5757;FABBRICATO;Via Filadelfia;205;45.0439696;7.6378994;"Accatastato - L219:::1386:71::1;L219:::1386:72::1";Ufficio strutturato ed assimilabili;3.5;6842.0;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività artistica e culturale;;;;
6230;FABBRICATO;via roma;247;45.0666246;7.6824582;"Accatastato - L219:::1282:171::220;L219:::1282:55::156";Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Non Disponibile;10.0;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;
6260;FABBRICATO;Via Bioglio;32;45.0872881;7.6974772;"Accatastato - L219:::1186:167::106;L219:::1186:167::353";Abitazione;Non Disponibile;63.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
6655;FABBRICATO;corso moncalieri;18;45.0595659;7.6943566;"Accatastato - L219:::1308:3::2;L219:::1308:103::";Impianto sportivo;Non Disponibile;2849.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
6817;FABBRICATO;Via Bioglio;20;45.0872881;7.6974772;"Accatastato - L219:::1186:167::51;L219:::1186:167::347";Abitazione;Non Disponibile;66.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
7267;FABBRICATO;via servais giovanni;62;45.0842325;7.6310376;"Accatastato - L219:::1161:166::2;L219:::1161:166::4";Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);4.0;987.5;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;
7904;FABBRICATO;corso croce benedetto;26;45.02074573;7.64416338;"Accatastato - L219:::1459:49::6;L219:::1459:49::3";Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);4.0;4317.25;Dal 1961 al 1970;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;
7948;FABBRICATO;Via Giuseppe Barbaroux;32;45.0727492;7.6789317;"Accatastato - L219:::1245:157::2;L219:::1245:157::1";Ufficio strutturato ed assimilabili;3.5;7361.14;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;;Non Dichiarato;in concessione a titolo oneroso;52.0;04/12/1984;
8387;FABBRICATO;via val della torre;169;45.0971732;7.6449621;"Accatastato - L219:::1111:300::2;L219:::1111:300::3";Abitazione;Non Disponibile;100.0;Dal 1981 al 1990;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;
8411;FABBRICATO;via roma;247;45.0666246;7.6824582;"Accatastato - L219:::1282:55::154;L219:::1282:171::218";Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Non Disponibile;10.0;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;
8412;FABBRICATO;via roma;247;45.0666246;7.6824582;"Accatastato - L219:::1282:55::151;L219:::1282:171::212";Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Non Disponibile;11.0;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;
8901;FABBRICATO;via roma;247;45.0666246;7.6824582;"Accatastato - L219:::1282:55::155;L219:::1282:171::219";Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Non Disponibile;10.0;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;
9289;FABBRICATO;via livorno;14;45.0835992;7.6678697;"Accatastato - L219:::1179:259::1;L219:::1179:259::4;L219:::1179:259::5";Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);4.0;1134.25;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività didattica;;;;
9296;FABBRICATO;Strada Comunale da San Vito a Revigliasco;65;45.0485998;7.6908539;"Accatastato - L219:::1355:75::2;L219:::1355:75::1";Magazzino e locali di deposito;Non Disponibile;606.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività amministrativa/uffici pubblici;;;;
9305;FABBRICATO;via montevideo;17;45.0366602;7.6543006;"Accatastato - L219:::1399:210::1;L219:::1399:210::4;L219:::1399:210::5";Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);4.0;8597.5;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività didattica;;;;
9799;FABBRICATO;via roma;247;45.0666246;7.6824582;"Accatastato - L219:::1282:55::153;L219:::1282:171::217";Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Non Disponibile;10.0;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;
9836;FABBRICATO;via s. agostino;15;45.0752932;7.6798428;"Accatastato - L219:::1219:37::10;L219:::1219:35::3";Abitazione;Non Disponibile;72.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
10308;FABBRICATO;Corso Sicilia;23;45.0419937;7.6830466;"Accatastato - L219:::1373:60::2;L219:::134:33::33";Abitazione;Non Disponibile;120.0;Prima del 1919;Nessuno;Patrimonio disponibile;Non utilizzato;Non Dichiarato;;;;
10314;FABBRICATO;via s. chiara;9;45.0752932;7.6798428;"Accatastato - L219:::1219:35::5;L219:::1219:153::1";Impianto sportivo;Non Disponibile;170.0;Dal 2001 al 2010;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività sportiva, ricreativa e di intrattenimento;;;;
10768;FABBRICATO;Via Cavour;14;45.0639128;7.6901187;"Accatastato - L219:::1281:149::8;L219:::1281:D::3";Ufficio strutturato ed assimilabili;Non Disponibile;256.0;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività amministrativa/uffici pubblici;;;;
10804;FABBRICATO;Via Giovanni Pacini;6;45.0872881;7.6974772;"Accatastato - L219:::1186:167::356;L219:::1186:167::166";Abitazione;Non Disponibile;65.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
11881;FABBRICATO;via roma;247;45.0666246;7.6824582;"Accatastato - L219:::1282:171::216;L219:::1282:55::152";Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Non Disponibile;10.0;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;
11913;FABBRICATO;Via Pietro Giuria;56;45.0460512;7.6768958;"Accatastato - L219:::1352:377::2;L219:::1352:409::";Impianto sportivo;Non Disponibile;237.0;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività sportiva, ricreativa e di intrattenimento;;;;
