municipio;0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;oltre;totale;zona_urbanistica
12;939;1246;1574;1649;1577;1545;1499;1514;1908;2317;3024;3143;2865;2263;1817;1824;1689;2211;34604;16a
12;793;1116;1365;1421;1410;1416;1469;1547;1738;2239;2665;2736;2477;1906;1559;1534;1341;1625;30357;16b
12;208;167;194;240;352;443;527;458;412;435;450;487;438;330;215;155;121;115;5747;16c
12;1427;1844;2159;2327;2201;2349;2517;2672;3200;3536;4391;4432;4177;3591;3042;2744;2246;3014;51869;16d
12;326;393;486;502;512;480;499;541;552;719;837;813;696;522;367;340;238;277;9100;16e
12;187;270;340;329;312;291;348;364;413;462;570;513;429;295;270;194;155;144;5886;16f
12;0;0;0;0;0;2;7;7;15;18;23;20;14;19;10;6;14;28;183;16x
13;599;751;1003;1069;1085;1069;1034;1184;1369;1641;2065;2227;1953;1602;1280;1359;1142;1427;23859;18a
13;949;1126;1358;1608;1514;1497;1744;1904;2247;2380;3115;3110;2553;1869;1458;1456;1242;1756;32886;18b
13;996;1199;1418;1514;1502;1396;1640;1869;1872;2208;2548;2626;2311;1864;1528;1264;918;944;29617;18c
13;444;593;688;780;839;798;829;938;1005;1192;1396;1593;1413;1113;990;949;833;1185;17578;18d
13;578;782;854;851;833;946;1060;1084;1174;1284;1448;1464;1296;1078;909;748;568;610;17567;18e
13;239;348;429;498;441;411;402;436;531;623;709;760;662;468;355;288;216;211;8027;18f
14;1192;1424;1701;1985;1947;1746;1825;1904;2198;2414;3156;3418;3372;2742;2266;2000;1655;2285;39230;19a
14;1586;1932;2285;2369;2700;2897;3007;3243;3330;3748;4667;4953;4536;3486;2647;2660;2322;2980;55348;19b
14;352;521;638;688;728;697;782;699;871;1035;1164;1270;1172;990;804;726;505;608;14250;19c
14;1087;1327;1444;1535;1402;1422;1639;1797;1917;2105;2339;2294;1901;1420;1049;909;628;659;26874;19d
14;471;609;678;680;709;809;914;934;1079;1098;1292;1356;1304;1089;884;757;593;825;16081;19e
14;43;51;79;92;82;68;58;75;85;113;127;150;140;103;118;123;104;106;1717;19f
14;1296;1744;1800;1671;1534;1512;1877;2100;2441;2783;2734;2661;2167;1506;1180;1036;712;721;31475;19g
14;111;123;175;207;222;187;179;196;197;269;342;353;289;236;202;170;138;133;3729;19h
15;387;488;578;698;633;643;598;675;740;848;1114;1180;1072;824;659;618;622;770;13147;20a
15;331;387;443;485;507;444;554;564;575;715;838;854;836;624;461;404;360;339;9721;20b
15;953;1231;1520;1678;1700;1724;1760;1753;2162;2540;2955;2887;2554;2050;1628;1537;1316;1565;33513;20c
15;523;683;905;1047;1019;927;874;909;1059;1305;1647;1883;1711;1232;942;893;824;1104;19487;20d
15;61;87;91;105;102;125;163;221;206;217;225;223;180;121;72;75;43;62;2379;20e
15;67;61;55;46;47;64;88;109;118;108;125;126;89;63;52;28;26;34;1306;20f
15;357;477;566;596;528;488;589;650;749;933;1075;991;884;636;555;471;372;445;11362;20g
15;624;788;1007;1180;1104;1058;1122;1166;1282;1566;1854;1828;1622;1255;994;899;619;750;20718;20h
15;289;443;530;541;505;476;485;549;666;749;856;817;623;497;402;343;276;258;9305;20i
15;142;189;190;197;206;202;213;261;263;317;355;347;275;197;160;162;118;106;3900;20l
15;665;824;1001;1039;1049;1275;1254;1398;1529;1597;1959;1949;1795;1418;1086;882;700;865;22285;20m
15;360;452;567;609;650;642;630;717;771;968;1057;992;866;663;526;457;316;343;11586;20n
15;0;2;4;0;2;1;4;2;1;7;4;9;3;3;0;0;3;1;46;20o
15;11;11;18;22;26;34;43;49;45;62;55;59;47;47;41;31;33;41;675;20x
