struttura,lat,lon,categoria,amenity,count_250m,count_500m,count_1km,count_2km,pois_within_2km
Appartamenti ex MOI,45.0303195,7.6554931,mobilità,car_sharing,0,0,0,1,4583295059
Appartamenti ex MOI,45.0303195,7.6554931,mobilità,taxi,0,2,2,5,"1264896131,5053158187,4897531190,10168691634,7211219153"
Appartamenti ex MOI,45.0303195,7.6554931,mobilità,parking,1,7,35,175,"249741900,254498262,855334213,264869629,1080108846,932427685,932274529,1126962875,768834224,932427682,768834335,932275417,332956527,1349535675,1349535674,1349535676,1349535677,932946816,540986061,783590368,459345922,1071023818,335813435,335813437,768834223,768834222,879443226,879443227,879443224,879443225,332722098,332722099,325441732,764219425,518585775,612685927,81082988,243508606,243506577,249741901,363604599,103536289,861323709,363604600,110892457,553283495,333542192,1120157053,253517569,861323707,490149383,861323718,787876937,787876940,253123418,862941755,223470912,223470911,223470910,333907856,324068563,334822795,324084757,868313772,330587423,1035921740,554021217,170466460,1119336752,1009349695,149023968,1119336751,349576247,132319235,1115777654,9410396377,1120309158,1020291626,1009349694,621957673,621950269,621950284,387746371,387746381,859714910,41920825,690558906,1350414714,1120309521,1130643944,332963769,332963768,106253189,446057328,1124712357,561085119,515873473,561276369,561276365,1287311504,515612630,1287311508,1287311509,588758207,1137569356,246856878,1411803203,1054362353,1054362361,454377349,289390796,289390799,453060585,193440717,193440705,878871292,1054163508,387746379,387746387,104393338,387746384,387746382,387746378,104674193,122239101,925814532,562884412,562884413,48277250,515614122,149024065,43165556,325025599,48275806,660696717,305681433,253301357,305680190,305940763,190437232,190437231,1287311510,1318046506,588758206,1321438974,1318046507,12026842569,4247924022,54740253,4247924125,330956379,330956378,313088902,313088903,166630018,291492675,50259560,49580893,925276467,1348523735,1427640386,1427317405,1427317410,1427317409,1427317413,1427317412,1427317411,1427317415,1427317414,1424188534,305940327,588952908,305941030,82207171,770822807"
Appartamenti ex MOI,45.0303195,7.6554931,mobilità,car_rental,0,0,1,3,"10613598794,11631173716,10698856934"
Appartamenti ex MOI,45.0303195,7.6554931,mobilità,bicycle_parking,0,2,13,84,"9436606041,12912109665,3435650580,9436595870,10802260145,10802260143,10802260144,7076001870,7076001871,10312647712,8640122084,8646928790,8640122085,9870608668,9870608672,10911706712,12484222598,10911706715,10911706716,7076001875,2699838358,9367516460,11189060645,9367516461,4226491672,2699836875,2699774349,3778228357,3377126658,8120488195,3921940130,6534269529,8071511876,3377126659,8041893744,10696546825,6329049867,3778228152,9425275099,10669058076,3921940131,8093631887,8093631886,8243916957,3921940132,8243916956,5347074903,10697356192,13137540508,8764826464,10168691633,10756360603,1202914660,2699836871,11274729969,10247952609,2699836873,2699836878,2699836877,7947719262,9826286292,12168185381,11648561445,11648573495,2699836884,2699836885,2699836886,2699836887,2699836888,2699836889,12233636601,11766605054,2699836883,2699836880,638741739,2524446376,638741442,11673291208,11673243325,7076001884,11933465157,7076001882,2635518486,7076001883"
Appartamenti ex MOI,45.0303195,7.6554931,mobilità,bicycle_rental,1,1,1,3,"5252298979,3829036667,5169986448"
Appartamenti ex MOI,45.0303195,7.6554931,mobilità,primary,0,0,0,0,
Appartamenti ex MOI,45.0303195,7.6554931,mobilità,secondary,0,0,0,0,
Appartamenti ex MOI,45.0303195,7.6554931,verde,park,1,3,15,64,"332952100,105600452,105738201,331195433,354332641,292040707,331195432,335813438,338178010,338178008,338178009,338178007,338178006,292040709,846112876,846112874,612874345,846112875,104200718,106512417,553283493,117470801,579848005,256503367,787876930,48135024,190471810,87776955,182810976,87776951,107161646,85980061,694257854,844053030,106672748,1009349690,174466518,584934170,106333759,41753634,649705620,690558905,552141608,267255988,36864736,561795883,37201910,36956969,1456216115,289390791,289390785,104393353,104674752,613505979,613505978,660699444,1119404704,588666372,305683893,589659003,579229093,106251930,589863206,28192921"
Appartamenti ex MOI,45.0303195,7.6554931,verde,garden,0,0,3,27,"1328062994,1036671386,337598477,335286980,106229859,106229844,106229845,856953686,588421219,588421218,1015820491,1427640390,1427640389,1427640391,1427648023,1427478336,1427640388,1427478331,1427317389,1427529413,1427529412,1427478347,1427317390,1427317391,1427317370,1427478349,1427478348"
Appartamenti ex MOI,45.0303195,7.6554931,verde,grass,4,32,117,460,"332962160,332962161,1308032361,332962159,1308032362,855334217,332962157,855334216,89418928,332135408,332192836,332192831,332192829,332192842,332192835,332192824,89418929,332192826,335710975,335710974,335710976,335710977,1349534693,341508866,932427684,89418936,332956525,931999383,931999384,332196457,931999385,332956508,332956505,332196456,932946820,932946819,1036314867,1036314865,333920740,333536138,338439602,1036314866,333042627,671900501,1349531604,333920738,333920739,333042626,89418934,333920741,333214231,671900504,333492221,1036668055,333214232,332954590,336745183,332954591,332954588,89418944,42045176,783590366,783590365,857719449,1349534688,1349534684,1349534683,332722103,879443218,884876509,332597537,645896992,345279187,645896991,336666462,345279188,612685966,612685965,612685964,612685925,612685923,1215325768,665386295,665386296,612685938,612693155,1390436521,612685929,612685931,612685963,612693151,612693154,612685937,612693152,612693153,589953455,612693149,106565367,106565369,787876932,790523269,787876943,787876939,230378258,1173007959,815517896,815523251,815523250,815517898,815523249,815517901,815517900,815523252,815523247,815517902,815523246,859854879,859854880,288835317,694268993,694268984,825117882,1273085367,694253819,694302837,694253814,694257856,694253816,825117880,825117881,344664397,694253815,694257857,694253817,694257858,331195425,335862480,335862481,333878684,333030494,335902433,333030495,983517397,333030496,333030497,694268988,694302841,694311481,694302838,694311480,694268989,694268987,694268985,694311479,694268986,694302842,694309463,694302840,694309465,694309462,694302843,694302839,694311482,694309464,890761403,333904216,1119338578,1119336750,1119336749,1119336745,1119336744,1119336746,1119338577,1119338576,1119336743,1119336747,1119336748,1017812982,132319219,399904837,132319220,332960336,332960335,886572653,621959598,406195255,406195261,621950285,332954582,1011274433,1011274435,1011274434,333939881,890759821,345603695,482873493,482873494,500704445,482873495,925494259,925494258,856953685,589953447,589953461,589953470,589953450,486177185,589953459,589953451,486177181,486177180,486177182,561309208,486177184,486177183,561309206,705606643,590781257,590781258,590781256,705606639,705606637,561309197,482873496,345603693,561085123,514549193,561276367,609926760,561085122,514549196,514301763,589915862,590780686,514549194,561276358,514549199,514549188,514549197,589915866,514549191,514549189,590189289,590189288,514549190,590189290,561276373,561276360,561276375,561276371,561276363,561276374,610027279,609997628,485882117,588494313,588494314,485882902,485882904,485882905,500651541,485882903,500651540,500651544,561795894,706744158,500726176,500726174,588758210,563089035,706744166,563084879,563089033,561276376,706744165,588758205,588758209,834050824,515616813,514541094,834050861,515616814,834050823,289390798,834050822,515910788,578548119,705456972,672524319,705456965,705456964,705456973,976672824,976672828,976672827,976672826,976672825,976672829,660934959,705456975,660934958,705456976,660934957,705456974,660934950,660934952,660934953,399908684,705456977,660934954,660934961,660699436,613483953,399908685,613483954,660934960,660699435,660699445,825826529,825826531,660699446,613483955,613483956,825826532,588733367,825826533,660699443,588733368,825826534,588733369,588733370,588733371,588733372,588733373,588733375,485909319,610027278,500657170,562884416,562884417,562884419,562884418,485909320,485900905,485909318,485909324,485909323,562884414,588421212,485909321,562884415,516654049,485909322,588745417,588745424,588745422,588745419,515616816,515616817,588745408,588745405,588745412,588745410,660696720,101510078,660696719,660932247,660696718,612374681,612374682,588952912,612374680,588952906,588666384,588666381,588666382,588726773,588758208,1132207955,1132207950,1132207951,1132207954,1132207953,1132207957,288835312,288835318,486174619,561542442,561542441,486174620,486174618,486174616,486174615,1239626888,1239626887,579229113,561619126,561619122,561619130,561619125,1132492706,561619121,579229112,1132492002,579229108,561619129,1132492003,579229110,579229099,579229097,579229106,579229101,1132209306,862454070,1132207952,1132207956,1311364296,577460557,485912130,485912131,485912126,485912128,485912129,579229154,485912127,579229089,730665854,690822581,690822578,690822577,579953323,579953322,579953321,579953320,579953319,579953318,579953317,579916574,579916577,579953316,579953328,690822582,379516467,579953324,379516466,579953327,579953326,579953325,690824765,589878715,588733365,588952917,588733358,588733359,588733360,588952904,588733361,588952902,588952915,588733363"
Appartamenti ex MOI,45.0303195,7.6554931,verde,wood,0,0,0,1,274223500
Appartamenti ex MOI,45.0303195,7.6554931,verde,forest,0,0,2,6,"1124124093,1124124084,1124124085,104261928,458043150,458043152"
Appartamenti ex MOI,45.0303195,7.6554931,verde,meadow,0,0,0,0,
Appartamenti ex MOI,45.0303195,7.6554931,verde,scrub,0,0,1,1,1054362363
Appartamenti ex MOI,45.0303195,7.6554931,verde,allotments,0,0,0,0,
Appartamenti ex MOI,45.0303195,7.6554931,verde,playground,0,3,10,45,"561525621,1080108842,356305320,1119329295,1124671635,249728473,11341897766,107166416,1202293060,1225404612,1225404594,926947839,48765726,1855093913,1855093905,56250537,1871334576,861179161,861179162,327740759,886573410,10043468821,3400792392,1227056652,397807036,249728482,1118364725,249728471,1115229840,1137569381,337175413,337175414,561795884,1121169525,4883648610,77722951,589503930,50258285,77722952,111815995,579229091,50174964,448162839,1445632679,660162335"
Appartamenti ex MOI,45.0303195,7.6554931,verde,recreation_ground,0,0,0,0,
Appartamenti ex MOI,45.0303195,7.6554931,verde,nature_reserve,0,0,0,0,
Appartamenti ex MOI,45.0303195,7.6554931,verde,lake,0,0,0,0,
Appartamenti ex MOI,45.0303195,7.6554931,verde,reservoir,0,0,0,0,
Appartamenti ex MOI,45.0303195,7.6554931,sport,fitness_centre,1,1,1,5,"9694330267,323658685,8157621715,11954127168,12748314201"
Appartamenti ex MOI,45.0303195,7.6554931,sport,sports_centre,0,0,2,26,"85621561,203467773,463835629,4086523262,765926575,3384161484,624749978,862185106,635797744,287706740,287477348,1137569364,825117877,526485020,349576242,289390792,255458844,635797745,13076830601,106227756,440825294,41753512,1427648033,387746357,1427648036,494397784"
Appartamenti ex MOI,45.0303195,7.6554931,sport,stadium,0,0,1,4,"43708853,1137569365,481253195,652725229"
Appartamenti ex MOI,45.0303195,7.6554931,sport,swimming_pool,0,2,4,16,"253517565,1175668467,9106388016,249731602,249731604,106357922,106403249,49054011,106487528,784822193,784822192,1427529403,784822190,784822189,784822191,257509763"
Appartamenti ex MOI,45.0303195,7.6554931,sport,water_park,0,0,0,0,
