struttura,lat,lon,categoria,amenity,count_250m,count_500m,count_1km,count_2km,pois_within_2km
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,mobilità,bus_stop,6,23,101,414,"1262207695,937591308,937591430,1262189772,1262190812,1262204920,1185441578,1262208869,1262211602,1262199144,1262195704,1262185164,1262210241,1262197150,1262210434,1262199934,1262199271,1262190748,1262200682,1262208770,1262186464,1262191474,1262199222,1262190163,1262185865,1668063927,1262195515,1262193449,1262203196,11009337365,1262207225,11211252314,1262195960,11211252315,1262208328,1262211523,1262184011,441698016,441698012,1262185459,937591581,1262207453,937591513,1262210240,1199003172,1199003187,1262209969,1262197382,1262194763,1262195528,1262182441,1262203530,1262209783,1262203317,1262201548,1262194534,1185441565,1262208618,1185441540,1185441579,937591574,1213368937,1262204355,1185441569,1262183019,937591597,1262201258,937605183,937605179,1198909279,1198909287,937605170,937605201,937605172,10200584299,1185414537,10200408844,1262206025,1185414591,1262212245,1262212777,1262192470,1262208298,1262197981,1262194443,1185441549,1262197105,1185441551,1262186201,1262199241,1185441575,10200584300,10200408843,1262205104,11211252313,1262195832,1262208385,1262209301,1262194948,1262198072,1262211472,1262197194,1230710356,1230710401,1262209161,1262194483,1213368919,1198867501,1198867296,1185441587,3979495903,10200408842,1262208027,1185441561,1230710173,1230709749,1262204124,1185441537,1231011169,1262194463,1212944734,1212944745,1262206303,1262208993,1262196617,1262196377,1262205652,1262198085,1262188120,1262192773,1262202694,1262199993,1262198818,1262207113,1262182479,1262189238,1213368963,1185809746,1185809738,1262208641,1185809741,1262208307,1185414473,1185809759,1262194959,1262188782,1185809737,1262199883,1262204464,1262187238,1262197176,1262207473,1262195467,1262192496,1262195984,1262196079,1262196389,1262189057,1262207017,1185809754,1185809736,1399644213,1131464110,1399644528,1262212319,937605193,937605195,937605181,937605194,937605189,1262198275,1198867720,1262200618,1262210403,1198867646,1198867624,1262199732,1198867456,1167320783,1262207954,1262187635,1262208539,1262200757,1262204432,1262205523,1262195376,1262203331,1262207470,1262195744,1185414571,1231011126,1168929258,1198867528,1199003141,1168929465,1185815850,1262195065,1262182588,937605174,937605197,1168270670,1199240778,937605169,1168929641,937605192,1168929327,937605175,1262195535,937605200,1229263756,1262201038,1262206788,1198867355,1262188427,13357227255,1198867590,1198867343,1198867678,1168929435,1198867713,1168929622,937605184,1185414408,1525407946,1262208796,937605187,1262193964,1262202938,1262210261,1262196361,1262193644,1262211503,937605188,1168270573,1262198137,1262203653,1262203564,1262208958,1262199591,1262193765,1262203257,1262194988,1262188706,1262202792,1262194321,1262197282,1262212832,1262211335,1262187575,1313599114,1313599098,1313599087,1313599111,1262201435,1313599104,1229580307,1229827398,12823257925,1262196595,1262196239,1229827470,1229580327,1262212991,1229580319,1262199709,1229827300,1262198618,1524833855,10938458344,4806485504,1569038269,12074187316,1262209419,1262197341,1524833877,4665090550,4665090551,1262209460,1262195174,1185414556,1185414572,1199240547,1569038260,1262208085,8494249908,1262196253,1199240667,1262201459,10938458345,1262197535,1262194358,8496496625,1262202182,4248370551,4245731174,4443910584,1262182722,1262198202,1262203078,1199240749,1262193035,943330835,937954831,1254531567,1262206062,2299299616,937605198,937605176,1262203237,937605196,937605190,1199240598,943330808,1262209067,1816820005,1262185598,1262203692,1262190108,1262203588,1262190098,1262209814,1262192681,1262200032,1262190944,1262212994,1262196128,1491228853,1262182560,1262187879,1262203150,1262212811,1262183335,1262204440,5594891025,1262199964,1262199168,1262182219,1399644425,1262198176,1262197433,1262192786,1262197275,1262200205,1262207921,1262210546,1262182382,1262192501,1262201910,1262192626,1229580308,4605836659,1262204898,12876021888,1229580300,1168929344,1262197041,1262207547,1198867604,8289837996,1262195219,8289837997,1262185354,1262181975,1262197387,1168270553,1168929565,1168270407,10200408841,4575722855,10066805517,1185414522,1262199608,1491228855,1262202711,1262199542,1262186722,1229580316,1229827663,1262208483,10136283371,1168270570,1168270559,1185414520,12876021885,1262211444,1168929371,1262200499,1262196215,1262201567,1262196300,1262198051,1262197657,1525407917,1262206483,1262203392,3229868385,3262101385,1168929432,1491228856,1262197246,1198867662,1262188506,1262208401,1262209581,1262199837,1262209446,1198867402,1229827101,1229580311,1168270639,1185414410,937605171,937954712,1262212512"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,mobilità,charging_station,0,3,6,46,"10200314273,10704779934,4691906384,5787665000,4691906382,7412497420,9568693093,10686606848,4691906381,8273687163,12206458665,9331784402,5545629913,10862580324,11107468089,13340070604,9088671239,4671233528,9088671240,5545493679,12801752468,13074606106,9056770766,8496473717,8496473719,8496473718,13254288285,9884949609,9884949607,9884949611,9884949608,9884949610,3906238205,11694139826,13254333741,12881604940,10132403023,10132403019,10132403022,10132403020,10132403021,10024930203,12848949670,12385342507,3906239156,5545493680"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,mobilità,car_sharing,0,0,0,1,4749176847
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,mobilità,taxi,1,1,4,15,"7211219153,1720500302,1470612633,450595752,4289455496,2016414163,2902424081,2902424080,1545661422,3241731973,8316678430,2019632236,604332918,5020220491,5020220492"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,mobilità,parking,0,1,32,139,"102643101,847969007,104230904,847959016,802596631,243354152,243354153,166581389,82290354,1125287584,131713580,11503903538,184476157,1150750603,1154039642,1208808264,190437232,190437231,1318046507,12026842569,166457327,4247924022,54740253,4247924125,560321339,646904179,166583965,166596459,241336708,1128003509,166585310,3319891484,131477884,166652711,166652710,791410567,792699652,841495751,841502849,140260606,83808962,106366574,376495005,154500752,839476414,839476413,1218048192,752839776,270802496,839634184,7077733654,693367780,693367779,1032863499,300189916,287520875,1027356692,330956379,330956378,313088902,313088903,166630018,291492675,50259560,1126042539,1126043797,1126047090,1190970428,1340364497,49580893,925276467,1348523735,108470282,942603632,942603631,736824357,706164324,730684398,1300583616,1419477429,736824358,1076957801,730771775,166652712,83042948,1383582583,1381841252,1381841251,5693045436,12809872841,1381841253,448434080,132528231,222172799,6411440333,635372762,635372763,320706078,320706077,166616053,166611428,770822807,770822808,454001359,454001349,1621697577,915561379,914641500,914641495,914641496,914641504,914641505,914641487,914641506,596527947,914641494,489020583,1409158807,7195363113,282924801,191173232,747831924,1455462286,4488383689,248772281,248160665,13260980844,2019632224,1227966229,275161406,2284374403,5997771287,5997780786,320706080,5997812985,635372765,320706079,3363420315,1218557983"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,mobilità,car_rental,0,0,1,7,"659970718,1170039574,1170039581,13363265154,6113511883,11104716244,5628622134"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,mobilità,bicycle_parking,3,18,63,283,"10848373825,12604248402,6284273900,2699765012,2699765013,2699765014,2699765015,10852570102,10750674542,10852570103,10750674543,10850759990,10850759982,10850759991,10848408078,10750671202,10994635793,10852593713,2699763620,2699760641,10852593711,7076001860,2699836884,2699836885,2699836886,2699836887,2699836888,2699836889,12233636601,11766605054,2699836883,2699836880,638741739,2524446376,638741442,7685876482,10873504948,7685967899,2699774350,2699774352,11274729869,1780322685,7076063185,1780322731,11274729769,2699759047,2699759049,2699759048,10852570101,3799076904,7635131587,6104249055,7063812962,10873504950,10873504949,2699760635,2699760634,10873504974,7918354187,10853204514,2699759050,2699760640,2699760639,2699762076,2699762075,7785624492,9565968757,2699759052,2699759053,2699759051,2699760636,2699760637,2699759056,2699759058,2699759057,2699757974,443101911,7815134909,7815134911,7815134910,7815134913,7815134912,12394522606,12394489858,10873504973,6912162938,7815134903,10113463334,10113463333,10113463332,10113463331,9580694089,10113463330,10113463329,10113463335,2016369763,2017759603,11673291208,11673243325,7076063186,7076063187,7076063189,7076063188,5347703556,12153279090,7076001884,11933465157,7076001882,2635518486,7076001883,7076001878,7076063193,7076063194,7076063195,7076063192,2699759055,2699759054,11913808736,7054259454,9771620395,10011778505,7076063191,6954549387,6954549388,1783770824,10873504971,1783770825,10802789582,2699757972,2699757973,2699757978,2699757975,9536387625,706004735,9536764388,9515661833,2699754605,7076001859,7076001858,2699762077,12951928674,2699762079,7807429771,10771806119,2699762078,2699762081,7076063225,2699745128,7076063226,7076063227,7076063223,7076063224,7076063222,7076063221,7076063220,7076063219,7076063218,7076063217,7076063216,7076063228,2699745134,7076063215,2699745131,7076063214,2699745130,5628622143,2699745129,5628622144,2632353490,10873504970,5628622145,7025739876,10873504969,2699745132,2699745136,2699745135,2699745137,10159318064,2699757982,2699757981,2699757980,2699757979,2699757983,2699757984,2699757985,2699757986,2699757987,2699757989,2699752845,2699752839,2699757988,10959344809,2699753945,2699754607,2699754613,2699754610,2699754609,13142999531,13143056907,10741520276,10741540187,2699752835,13142731612,2699752836,2699752843,2699752848,2699752837,2699752846,7076001881,7076001880,7076063190,12168185377,8496468307,11082056515,8496468304,8496468306,8496468305,11082056516,11082056517,11182198684,5226211759,7076001868,12365551375,7076001867,7076001864,7076001863,7076001865,13283071994,13283160701,13283086792,9122302517,6909804800,9330196749,5594891026,13283101982,9038187426,13283226975,11274729970,9884528466,9321076956,4063688590,7076001861,7076001862,2282486102,5113659453,7076001866,11983497399,11983479625,2017190763,2018982169,7076063202,7076063203,12009896156,13324660699,7076063201,10884404308,7076063200,7076063199,12681485187,12681485188,6149852920,2699753943,2699753944,2699753946,2699753947,2699753951,2699753950,2699753949,2699753948,5117627158,5113659515,10779500105,2699753644,5968582882,5968581908,6827178603,12068659438,7076063204,7076063205,7076063206,11277111680,2699752833,2699752831"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,mobilità,bicycle_rental,0,0,0,3,"5169986448,12068398565,12068398566"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,mobilità,primary,0,0,0,0,
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,mobilità,secondary,0,0,0,0,
