immobile_id,category,score,percentile
3107622,sanità,0.2985675548671194,2.829871613900652
3107622,mobilità,4.775071220431641,3.3810580090071922
3107622,verde,3.1247209266433438,1.317469920010755
3107622,sport,1.0948330969961866,2.077031659608792
3107622,commerciale,0.4325136006883723,2.1778584392014517
3107622,educazione,0.3062343324549151,2.500504133897963
3107623,sanità,0.9039429806577057,15.517241379310345
3107623,mobilità,7.35580105731841,7.565369362102574
3107623,verde,7.948593131407768,14.287154668279895
3107623,sport,2.5653704994215816,5.931975532701485
3107623,commerciale,0.926723796385749,9.622235665792834
3107623,educazione,1.3568895206636191,21.70128386099348
3107624,sanità,0.9135901380095062,15.685286011964777
3107624,mobilità,7.672211924627058,8.5064193049674
3107624,verde,7.58945106880867,13.258721516434765
3107624,sport,2.783566575697257,6.67137191638099
3107624,commerciale,0.9575354095767992,11.040532365396249
3107624,educazione,1.2629719903073973,20.51824964710627
3107625,sanità,0.9308444072250759,16.091954022988507
3107625,mobilità,7.46627749742171,7.958593802513947
3107625,verde,7.907253724030071,14.14935806950326
3107625,sport,2.5012291847838966,5.753848222087786
3107625,commerciale,0.9499832400015152,10.896013981313436
3107625,educazione,1.358419131243712,21.79874974793305
3107626,sanità,0.8769016182419237,14.848423741345702
3107626,mobilità,6.0542782495409755,4.812798279222961
3107626,verde,7.393660630706124,11.5883578678497
3107626,sport,3.1396653452120633,8.314848423741346
3107626,commerciale,1.4527378757435976,29.958997109632318
3107626,educazione,1.1389628724355076,18.08832425892317
3107627,sanità,1.4464601170960751,35.141493580695034
3107627,mobilità,9.308028988137833,17.496807151979567
3107627,verde,7.57238463297401,13.208308126638435
3107627,sport,3.0805020471453486,7.420850978019762
3107627,commerciale,1.1093618300014803,14.707266249915977
3107627,educazione,1.421442351587105,22.383545069570477
3107628,sanità,1.3311571429921047,30.994152046783626
3107628,mobilità,7.5246336027184935,8.140082005780735
3107628,verde,7.823316842922396,13.914095583787054
3107628,sport,3.0262438536988974,7.29985884250857
3107628,commerciale,1.3465931335241004,23.92955568999126
3107628,educazione,1.4608211996319294,22.719634334879345
3107629,sanità,0.9817858687269262,16.864959333198897
3107629,mobilità,7.29068669680193,7.393963836795052
3107629,verde,6.541248388650279,9.51132620824091
3107629,sport,2.5473325768201898,5.8613967869866235
3107629,commerciale,1.001442331380285,11.99166498622034
3107629,educazione,0.8649456568312854,10.31121865967601
3107630,sanità,1.23937336834686,26.47039053572629
3107630,mobilità,7.4070590257856495,7.743496672716273
